Name;Tag;Coordinates;Base Item;Attack Damage;Attack Speed;Ability;Armor;Armor Toughness;Enchantments;Bonus Stats;Obtain
AvEP-83;Artifact;['(1956, 103, 1497)'];Leather Chestplate;#NO_INFO;#NO_INFO;#NO_INFO;6;#NO_INFO;['Protection V'];['#NO_INFO'];['Located at the top of the Insohmic Research Center, in the North Heartwood. Chest located at (1956, 103, 1497)']
Axe of Growth;Artifact;['(530, 77, 1858)'];Wooden Axe;7;0.8;#NO_INFO;#NO_INFO;#NO_INFO;['Efficiency III', 'Unbreaking III', 'Mending'];['#NO_INFO'];['Found inside the roof of the Temple of Split Deities in Drabyel. Chest located at (530, 77, 1858)']
Battlesign;Artifact;['(1644, 83, 1898)'];Oak Sign;8;1;#NO_INFO;#NO_INFO;#NO_INFO;['Knockback III'];['#NO_INFO'];['In an overgrown house within the North Heartwood. Chest located at (1644, 83, 1898)']
Bloodied Nullblade;Artifact;['(-3661, 77, -1171)'];Stone Sword;6;1.6;#NO_INFO;#NO_INFO;#NO_INFO;['#NO_INFO'];['#NO_INFO'];['Found in a hidden side room of the Last Avsohmic Vault. Item Frame located at (-3661, 77, -1171)']
Boltcatcher's Cradle;Artifact;['(4665, 154, -3164)'];Diamond Leggings;#NO_INFO;#NO_INFO;#NO_INFO;6;#NO_INFO;['Feather Falling II'];['+0.01 Speed, +0.2 Attack Speed'];['Located in a tall deepslate/copper structure in the Frozen Bite. Chest located at (4665, 154, -3164)']
Boots of Deigh;Artifact;['(3325, 165, 2669)'];Iron Boots;#NO_INFO;#NO_INFO;#NO_INFO;3;2;['Unbreaking IV'];['+10 Max Health, +10% Movement Speed, -90% Attack Damage'];['Located in the hanging Mihkmari tower in the Verdant Labyrinth. Chest located at (3325, 165, 2669)']
Boots of the Honorable;Artifact;['(335, 46, 354)'];Leather Boots;#NO_INFO;#NO_INFO;#NO_INFO;1;#NO_INFO;['Unbreaking III'];['+2 Maximum Health'];["Inside the eastern tomb within the Hunter's Crypt. Chest located at (335, 46, 354)"]
Boots of the Ruthless;Artifact;['(315, 46, 354)'];Leather Boots;#NO_INFO;#NO_INFO;#NO_INFO;1;#NO_INFO;['Unbreaking III'];['+0.2 Attack Speed'];["Inside the western tomb within the Hunter's Crypt. Chest located at (315, 46, 354)"]
Boots of the Scheming;Artifact;['(325, 46, 365)'];Leather Boots;#NO_INFO;#NO_INFO;#NO_INFO;1;#NO_INFO;['Unbreaking III'];['+0.01 Movement Speed'];["Inside the southern tomb within the Hunter's Crypt. Chest located at (325, 46, 365)"]
Boots of the Witness;Artifact;['(1853, 115, -3158)'];Iron Boots;#NO_INFO;#NO_INFO;#NO_INFO;2;#NO_INFO;['Unbreaking I'];['+0.01 Movement Speed'];['Located in a tent in southern Faehrcyle. Chest located at (1853, 115, -3158)']
Casain Theater Mask;Artifact;['(4484, 157, 5514)'];Golden Helmet;#NO_INFO;#NO_INFO;#NO_INFO;2;#NO_INFO;['Protection III', 'Fire Protection III', 'Blast Protection III', 'Projectile Protection III', 'Unbreaking VI'];['#NO_INFO'];['Located in the largest building in the town of Morah, on Sahd. Item frame located at (4484, 157, 5514)']
Chronicler's Offering;Artifact;['(-4589, 71, 2903)'];Iron Leggings;#NO_INFO;#NO_INFO;#NO_INFO;5;#NO_INFO;['#NO_INFO'];['+2 Max Health, +1 Attack Damage'];["Located in an obsidian crater at the end of an archipelago in southern Anyr'Nogur. Item frame located at (-4589, 71, 2903)"]
Comedically Large Spoon;Artifact;['(5665, 63, -3680)'];Iron Shovel;10;0.8;#NO_INFO;#NO_INFO;#NO_INFO;['Efficiency X', 'Unbreaking V'];['#NO_INFO'];['Located at the very end of a strip of land in the Frozen Bite. Chest located at (5665, 63, -3680)']
Countenance of Virtuo;Artifact;['(3260, 127, 3378)'];Leather Helmet;#NO_INFO;#NO_INFO;#NO_INFO;1;#NO_INFO;['Respiration IV', 'Aqua Affinity', 'Unbreaking III'];['#NO_INFO'];['Located at the top of the Kiln of Virtuo. Chest located at (3260, 127, 3378)']
Coup de Grace;Artifact;['(-4211, 142, 2388)'];Crossbow;#NO_INFO;#NO_INFO;#NO_INFO;#NO_INFO;#NO_INFO;['Piercing V', 'Quick Charge I'];['#NO_INFO'];["Located in a ruined Casain city on the western coast of Anyr'Nogur. Chest located at (-4211, 142, 2388)"]
Creeper Hide Pants;Artifact;['(95, 92, 1067)'];Leather Leggings;#NO_INFO;#NO_INFO;#NO_INFO;2;#NO_INFO;['Blast Protection IV', 'Curse of Binding'];['#NO_INFO'];['Located on an armor stand in western Capital Valley. Armor Stand located at (95, 92, 1067)']
Crest of Mekta;Artifact;['(-819, 225, -1828)'];Stone Sword;5;1.6;#NO_INFO;#NO_INFO;#NO_INFO;['Knockback II', 'Sweeping Edge V', 'Unbreaking X'];['#NO_INFO'];['Located in a block of ice at the top of Mt. Mekta, in Merijool. Chest located at (-819, 225, -1828)']
Crown of Peace;Artifact;['(3888, 52, 3586)'];#NO_INFO;#NO_INFO;#NO_INFO;#NO_INFO;2;6;['#NO_INFO'];['#NO_INFO'];['Located in a hidden cave, in a bar in Firteid. Chest located at (3888, 52, 3586)']
Cryptkeeper's Boots;Artifact;['(1510, 135, -1941)'];Diamond Boots;#NO_INFO;#NO_INFO;#NO_INFO;2;#NO_INFO;['#NO_INFO'];['+8% Attack Damage'];["One of four artifacts that make up the Cryptkeeper's Set, in Ancehl Castle. Chest located at (1510, 135, -1941)"]
Cryptkeeper's Chestplate;Artifact;['(1549, 147, -1945)'];Diamond Chestplate;#NO_INFO;#NO_INFO;#NO_INFO;6;#NO_INFO;['#NO_INFO'];['+8% Attack Damage'];["One of four artifacts that make up the Cryptkeeper's Set, in Ancehl Castle. Chest located at (1549, 147, -1945)"]
Cryptkeeper's Helmet;Artifact;['(1513, 160, -1934)'];Diamond Helmet;#NO_INFO;#NO_INFO;#NO_INFO;2;#NO_INFO;['#NO_INFO'];['+8% Attack Damage'];["One of four artifacts that make up the Cryptkeeper's Set, in Ancehl Castle. Chest located at (1513, 160, -1934)"]
Cryptkeeper's Leggings;Artifact;['(1524, 151, -1978)'];Diamond Leggings;#NO_INFO;#NO_INFO;#NO_INFO;5;#NO_INFO;['#NO_INFO'];['+8% Attack Damage'];["One of four artifacts that make up the Cryptkeeper's Set, in Ancehl Castle. Dispenser located at (1524, 151, -1978)"]
Crystalline Greatshield;Artifact;['(2174, 63, -3448)'];Shield;#NO_INFO;#NO_INFO;#NO_INFO;#NO_INFO;#NO_INFO;['Unbreaking II'];['+0.015 Movement Speed'];['Located in a frozen lake in Faehrcyle. Chest located at (2174, 63, -3448)']
Damaged Vorpal Greatsword;Artifact;['(6171, 83, -1103)'];Iron Sword;6;1.2;#NO_INFO;#NO_INFO;#NO_INFO;['Sharpness I', 'Smite III', 'Bane of Arthropods III', 'Unbreaking I'];['#NO_INFO'];['Located in the castle in eastern Highfall. Chest located at (6171, 83, -1103)']
Deharian Longsword;Artifact;['(-3049, 222, 343)'];Iron Sword;6;1.8;#NO_INFO;#NO_INFO;#NO_INFO;['Unbreaking X', 'Mending'];['#NO_INFO'];['Located in a small structure near the summit of Mt. Ebonfire. Chest located at (-3049, 222, 343)']
Disciple's Greaves;Artifact;['(-2250, 7, 5585)'];Golden Leggings;#NO_INFO;#NO_INFO;#NO_INFO;4;1;['Fire Protection VII', 'Unbreaking IX'];['#NO_INFO'];['Located in The Carmine, at the Birthing Grounds. Chest located at (-2250, 7, 5585)']
Dragonslayer Sword;Artifact;['#NO_INFO'];Iron Sword;6;1.6;#NO_INFO;#NO_INFO;#NO_INFO;['Unbreaking IV'];['#NO_INFO'];["Located in the large domed building at the center of Av'Sal. Dropped by Arnstehn."]
Drehn's Peace;Artifact;['(1488, 187, -1964)'];Shield;6;0.8;#NO_INFO;#NO_INFO;#NO_INFO;['Knockback II'];['+2 Armor'];['Located in a tower at Ancehl Castle. Chest located at (1488, 187, -1964)']
Drehuan Macrochisel;Artifact;['(24, 105, 2435)'];Stone Pickaxe;10;0.6;#NO_INFO;#NO_INFO;#NO_INFO;['Silk Touch'];['#NO_INFO'];['Found inside the large Drehuan Statue in Palisades Heath. Chest located at (24, 105, 2435)']
Drinking Hat;Artifact;['(4447, 148, -3720)'];#NO_INFO;#NO_INFO;#NO_INFO;#NO_INFO;3;1;['#NO_INFO'];['+5% Max Health, +5% Movement Speed, +5% Attack Speed'];['Located in a grave in the northern portion of the mountain range between Faehrcyle and the Frozen Bite. Chest located at (4447, 148, -3720)']
Duspian Chausses;Artifact;['(-2212, 75, 745)'];Leather Leggings;#NO_INFO;#NO_INFO;#NO_INFO;5;#NO_INFO;['Unbreaking V'];['+6 Max Health, -0.01 Movement Speed'];['Located in an isolated house in the Ebony Veldt. Chest located at (-2212, 75, 745)']
Eidolon's Gamble;Artifact;['(-2176, 126, 2326)'];Chainmail Boots;#NO_INFO;#NO_INFO;#NO_INFO;2;#NO_INFO;['Unbreaking II'];['+3 Attack Damage, -0.02 Movement Speed'];['Located in a small tower in Nimahj Swamp. Chest located at (-2176, 126, 2326)']
Emberhost;Artifact;['(-1752, 143, -1647)'];Iron Boots;#NO_INFO;#NO_INFO;#NO_INFO;2;#NO_INFO;['Fire Protection V'];['+4 Max Health, +10% Attack Damage, -0.04 Movement Speed'];['Located in a stone structure extending off of a hill in northwest Merijool. Chest located at (-1752, 143, -1647)']
Endless Catch;Artifact;['(-1564, 78, -439)'];Fishing Rod;#NO_INFO;#NO_INFO;#NO_INFO;#NO_INFO;#NO_INFO;['Lure IV', 'Mending'];['#NO_INFO'];['Located at the top of the inn in Okeke. Chest located at (-1564, 78, -439)']
Exquisite Leaf Hat;Artifact;['(-2499, 135, 2858)'];Turtle Helmet;#NO_INFO;#NO_INFO;#NO_INFO;1;#NO_INFO;['#NO_INFO'];['#NO_INFO'];['Located in Nimahj Swamp, at the top of a spiral hill which culminates in the throne of the "Swamp King." Chest located at (-2499, 135, 2858)']
Florafilius;Artifact;['(2017, 61, 1913)'];Diamond Hoe;1;4;#NO_INFO;#NO_INFO;#NO_INFO;['Unbreaking II', 'Mending'];['#NO_INFO'];['Located beneath a small house in the North Heartwood. Chest located at (2017, 61, 1913)']
Foot Easels;Artifact;['(-3037, 63, -735)'];Leather Boots;#NO_INFO;#NO_INFO;#NO_INFO;2;#NO_INFO;['Unbreaking IV'];['-10% Max Health, +10% Attack Damage'];['Located in the ruins of Zahra in Casai. Chest located at (-3037, 63, -735)']
Foreigner's Lodestar;Artifact;['(6603, 83, -2821)'];Fishing Rod;#NO_INFO;#NO_INFO;#NO_INFO;#NO_INFO;#NO_INFO;['Unbreaking X'];['#NO_INFO'];['Located on an island in the far east of the Frozen Bite. Chest located at (6603, 83, -2821)']
Form-fitting Leggings;Artifact;['(4518, 64, 5748)'];Leather Leggings;#NO_INFO;#NO_INFO;#NO_INFO;2;#NO_INFO;['#NO_INFO'];['+5% Attack Damage'];['Located in the Dahe clan ruins in Sahd. Chest located at (4518, 64, 5748), also containing the Form-fitting Tunic.']
Form-fitting Tunic;Artifact;['(4518, 64, 5748)'];Leather Chestplate;#NO_INFO;#NO_INFO;#NO_INFO;3;#NO_INFO;['#NO_INFO'];['+5% Attack Damage'];['Located in the Dahe clan ruins in Sahd. Chest located at (4518, 64, 5748), also containing the Form-fitting Leggings.']
Freebooter's Breeches;Artifact;['(249, 124, 2713)'];Leather Leggings;#NO_INFO;#NO_INFO;#NO_INFO;2;#NO_INFO;['Unbreaking II'];['+5% Movement Speed'];['Found in a fort on the coast of the 2nd peninsula of Palisades Heath. Chest located at (249, 124, 2713)']
Gehmli's Axe;Artifact;['(2825, 85, -3020)'];Diamond Axe;19;0.3;#NO_INFO;#NO_INFO;#NO_INFO;['Efficiency IV'];['-0.02 Movement Speed'];['Located in a house in central Faehrcyle. Chest located at (2825, 85, -3020)']
Glorybringer;Artifact;['(5037, 120, 6345)'];Iron Axe;15;0.4;#NO_INFO;#NO_INFO;#NO_INFO;['#NO_INFO'];['#NO_INFO'];["Located in Sahd, at the base of the Emperor's Estate. Chest located at (5037, 120, 6345)"]
Goh's Plate;Artifact;['(370, 65, -93)'];Chainmail Chestplate;#NO_INFO;#NO_INFO;#NO_INFO;5;1;['Unbreaking VI'];['#NO_INFO'];['Located in the ruins of Fortahn, in the Gulf of Drehmal. Chest located at (370, 65, -93)']
Gravedigger's Spade;Artifact;['(372, 87, 821)'];Iron Shovel;4.5;1;#NO_INFO;#NO_INFO;#NO_INFO;['Smite V', 'Unbreaking III'];['#NO_INFO'];['In the graveyard tower west of the church along the road between the Primal Caverns and Drabyel. Chest located at (372, 87, 821)']
Greaves of the Witness;Artifact;['(4397, 141, -3886)'];Iron Leggings;#NO_INFO;#NO_INFO;#NO_INFO;5;#NO_INFO;['Unbreaking I'];['+0.01 Movement Speed'];['Located in a strange quartz structure in northeastern Faehrcyle. Chest located at (4397, 141, -3886)']
Gumption;Artifact;['(-1048, 71, 2503)'];Iron Axe;9;1.2;#NO_INFO;#NO_INFO;#NO_INFO;['Mending'];['#NO_INFO'];['Located in an isolated house in North Tharxax. Chest located at (-1048, 71, 2503)']
Gutripper Blackblade;Artifact;['(-2326, 74, 4393)'];Stone Sword;34;0.1;#NO_INFO;#NO_INFO;#NO_INFO;['Sweeping Edge II'];['-0.1 Movement Speed'];['Located in southwestern South Tharxax, near the lava lake that forms the natural border with The Carmine. Chest located at (-2326, 74, 4393)']
Harbormaster's Cap;Artifact;['(-3979, 112, 1626)'];Leather Helmet;#NO_INFO;#NO_INFO;#NO_INFO;1;#NO_INFO;['#NO_INFO'];['+2 Max Health, +0.01 Movement Speed, +1 Attack Damage'];["Located in the Avsohmic Launch Site on the northwestern coast of Anyr'Nogur. Chest located at (-3979, 112, 1626)"]
Heart of Glass;Artifact;['(4088, 228, 3834)'];Diamond Chestplate;#NO_INFO;#NO_INFO;#NO_INFO;5;#NO_INFO;['#NO_INFO'];['-10 Max Health, +0.015 Movement Speed, +3 Attack Damage'];['Located in the Black Jungle, east of the ruins of Vulteid. Chest located at (4088, 228, 3834)']
Her Truth;Artifact;['(4285, 123, -1719)'];Iron Boots;#NO_INFO;#NO_INFO;#NO_INFO;2;#NO_INFO;['Unbreaking II'];['-8 Max Health, +0.015 Movement Speed, +2 Attack Damage'];['Located in a floating piece of glass over the Tinaxi Pools at Veruhkt Plateau. Chest located at (4285, 123, -1719)']
Ignus Scythe;Artifact;['(4546, 43, 3731)'];Diamond Hoe;8;2;#NO_INFO;#NO_INFO;#NO_INFO;['Fire Aspect III'];['#NO_INFO'];['Located in a black concrete monolith, in the central magma fields of the Black Jungle. Chest located at (4546, 43, 3731)']
Indomitable;Artifact;['(3373, 70, -4032)'];Diamond Chestplate;#NO_INFO;#NO_INFO;#NO_INFO;7;#NO_INFO;['#NO_INFO'];['-4 Max Health, -0.01 Movement Speed, +4 Attack Damage'];['Located in a structure within a lava pool at Faehrcyle, in the volcanic Totoron Lakes sub-region. Chest located at (3373, 70, -4032)']
Inspector's Sidearm;Artifact;['(-2325, 88, -1198)'];Crossbow;#NO_INFO;#NO_INFO;#NO_INFO;#NO_INFO;#NO_INFO;['Quick Charge II'];['#NO_INFO'];["Located in the ruins of Sal'Lohd in Casai. Chest located at (-2325, 88, -1198)"]
Insulated Mask;Artifact;['(3124, 25, 1270)'];Leather Helmet;#NO_INFO;#NO_INFO;#NO_INFO;5;2;['Unbreaking V'];['-0.01 Movement Speed'];['Located at the Skeveraan Laboratory in Spearhead Forest. Chest located at (3124, 25, 1270)']
Insurance;Artifact;['(5191, 115, 5574)'];Bow;#NO_INFO;#NO_INFO;#NO_INFO;#NO_INFO;#NO_INFO;['Infinity'];['+10% Max Health'];['Located in the Zedoh Clan ruins in Sahd. Chest located at (5191, 115, 5574)']
Jack's Jacket;Artifact;['(4331, 134, 4409)'];Leather Chestplate;#NO_INFO;#NO_INFO;#NO_INFO;3;#NO_INFO;['Thorns IV', 'Unbreaking X', 'Mending'];['#NO_INFO'];["Located in Jack Beanin's house in the southeastern Black Jungle. Chest located at (4331, 134, 4409)"]
Keelbreaker;Artifact;['(5269, 122, -2086)'];Diamond Axe;9;1;#NO_INFO;#NO_INFO;#NO_INFO;['#NO_INFO'];['+4 Max Health'];['Located in the Virmari Fort in Highfall Tundra. Chest located at (5269, 122, -2086)']
Lodebearer;Artifact;['(-2550, 100, -1562)'];Iron Chestplate;#NO_INFO;#NO_INFO;#NO_INFO;6;#NO_INFO;['Blast Protection II'];['+6 Max Health, -0.01 Movement Speed'];['Located in one of the large mesas east of Athrah. Chest located at (-2550, 100, -1562)']
Loe'Othrah;Artifact;['(-656, 97, -1729)'];Iron Pickaxe;5;1.6;#NO_INFO;#NO_INFO;#NO_INFO;['Silk Touch'];['#NO_INFO'];['Located in eastern Merijool, in the ruins of Kamt. Chest located at (-656, 97, -1729)']
Lomach's Warplate;Artifact;['(-1174, 70, 802)'];Diamond Horse Armor;#NO_INFO;#NO_INFO;#NO_INFO;#NO_INFO;#NO_INFO;['#NO_INFO'];['+14 Max Health'];['Located in a Mihkmari camp in the Ebony Veldt. Chest located at (-1174, 70, 802)']
Lookout Legwear;Artifact;['(-2079, 154, 5977)'];Iron Leggings;#NO_INFO;#NO_INFO;#NO_INFO;5;1;['Feather Falling III'];['#NO_INFO'];['Located at the Maelmari Lookout in the southeastern portion of the Carmine. Chest located at (-2079, 154, 5977)']
Lorahn Sacrificial Blade;Artifact;['(-108, 67, 4802)'];Stone Sword;5;1.5;#NO_INFO;#NO_INFO;#NO_INFO;['Smite VI'];['#NO_INFO'];["Located in Lorahn'Kahl, off the east of the path leading between the Whale's Tale and Mohta. Chest located at (-108, 67, 4802)"]
Lost King's Crown;Artifact;['(-1725, 164, 3037)'];Golden Helmet;#NO_INFO;#NO_INFO;#NO_INFO;2;2;['Protection II', 'Unbreaking III'];['#NO_INFO'];['Dropped by the Infected King that spawns atop Loraga Keep. Located at approximately (-1725, 164, 3037)']
Magnetic Acceleration Combat Crossbow;Artifact;['(-3174, 122, 942)'];Crossbow;#NO_INFO;#NO_INFO;#NO_INFO;#NO_INFO;#NO_INFO;['Unbreaking VIII'];['#NO_INFO'];['Located in a tunnel through the southern edge of Mt. Ebonfire. Chest located at (-3174, 122, 942)']
Malevolentius;Artifact;['(946, 151, 5052)'];Diamond Sword;10;0.8;#NO_INFO;#NO_INFO;#NO_INFO;['Fire Aspect I'];['+4 Max Health, -0.02 Movement Speed'];['Located at a shrine on the largest island south of the South Heartwood. Chest located at (946, 151, 5052)']
Mantle of the Calamitous;Artifact;['(-2145, 67, 412)'];Iron Chestplate;#NO_INFO;#NO_INFO;#NO_INFO;5;#NO_INFO;['Unbreaking I'];['-15% Max Health, +15% Movement Speed, -15% Attack Speed'];['Located near the exposed bones of a large creature in the Ebony Veldt. Chest located at (-2145, 67, 412)']
Marred Masterwork;Artifact;['(-1112, 102, 5203)'];Iron Pickaxe;4;1.2;#NO_INFO;#NO_INFO;#NO_INFO;['Fortune I'];['#NO_INFO'];["Located in the ruins of Sal'Lorahn, in western Lorahn'Kahl. Chest located at (-1112, 102, 5203)"]
Maw;Artifact;['(4464, 42, -2110)'];Diamond Chestplate;#NO_INFO;#NO_INFO;#NO_INFO;1;#NO_INFO;['Thorns IV'];['-10 Max Health, -0.05 Movement Speed, -5 Attack Damage'];['Located in the small desert between Veruhkt Plateau and Highfall Tundra, in a sculpture of a head. Chest located at (4464, 42, -2110)']
Mirage;Artifact;['(-3643, 36, 1993)'];Golden Sword;14;1.6;#NO_INFO;#NO_INFO;#NO_INFO;['Sharpness X'];['#NO_INFO'];["Located in Anyr'Nogur. Rewarded upon solving the Temple of Dahroehl's puzzle, which summons a chest at (-3643, 36, 1993)"]
Mirrorhelm of Stars;Artifact;['(-913, 182, -4146)'];Iron Helmet;#NO_INFO;#NO_INFO;#NO_INFO;3;2;['Unbreaking VI'];['+6 Max Health, -0.01 Movement Speed'];['Located at Star-Rise Bastion on the Island of Dawn. Chest located at (-913, 182, -4146)']
Mud-Caked Chainmail;Artifact;['(-2261, 93, 2517)'];Chainmail Chestplate;#NO_INFO;#NO_INFO;#NO_INFO;6;2;['Fire Protection III'];['#NO_INFO'];['Located in a ruined castle in Nimahj Swamp. Chest located at (-2261, 93, 2517)']
Mystic Vow;Artifact;['(1084, 58, 1141)'];Diamond Boots;#NO_INFO;#NO_INFO;#NO_INFO;2;#NO_INFO;['Projectile Protection VII'];['#NO_INFO'];['Located underneath the ruins of Ihted in eastern Capital Valley. Chest located at (1084, 58, 1141)']
Nautical Boots;Artifact;['(3775, 93, -393)'];Diamond Boots;#NO_INFO;#NO_INFO;#NO_INFO;3;2;['Respiration II', 'Aqua Affinity', 'Depth Strider II'];['#NO_INFO'];["Located at the top of the Solitary Southerner's tower in Grand Pike Canyon. Chest located at (3775, 93, -393)"]
Nullblade;Artifact;['(6035, 61, 1515)'];Stone Sword;7;1.6;#NO_INFO;#NO_INFO;#NO_INFO;['#NO_INFO'];['Unbreakable'];['Located in the Insohmic Coven of Potentia on the east coast of the Shattered Peninsula. Chest located at (6035, 61, 1515)']
Outlaw's Boots;Artifact;['(1436, 62, 3839)'];Leather Boots;#NO_INFO;#NO_INFO;#NO_INFO;1;#NO_INFO;['#NO_INFO'];['-2 Max Health, +0.015 Movement Speed'];['Located in the abandoned mining town in the South Heartwood, at the grave of "Mi\'cah Behl." Chest located at (1436, 62, 3839)']
Oversized Scalpel;Artifact;['(-1765, 138, 3036)'];Iron Hoe;4;3;#NO_INFO;#NO_INFO;#NO_INFO;['#NO_INFO'];['#NO_INFO'];['Located under Loraga Keep in South Tharxax. Chest located at (-1765, 138, 3036)']
Plaguebearer's Longbow;Artifact;['(5039, 97, 1070)'];Bow;#NO_INFO;#NO_INFO;#NO_INFO;#NO_INFO;#NO_INFO;['#NO_INFO'];['-6 Max Health, +0.015 Movement Speed'];['Located in Sevick, a small island village to the east of Spearhead Forest. Chest located at (5039, 97, 1070)']
Prismatic Helmet;Artifact;['(18, 208, 4303)'];Iron Helmet;#NO_INFO;#NO_INFO;#NO_INFO;#NO_INFO;#NO_INFO;['#NO_INFO'];['-4 Max Health, +0.1 Attack Speed, +10% Attack Damage'];["Located atop a vibrant blue mountain on the coast between Lorahn'Kahl and Palisades Heath. Chest located at (18, 208, 4303)"]
Prototype Probe Launcher;Artifact;['(4141, 135, 280)'];Crossbow;#NO_INFO;#NO_INFO;#NO_INFO;#NO_INFO;#NO_INFO;['#NO_INFO'];['+4 Max Health, -0.01 Movement Speed'];['Located within the Timberhearth Observatory & Museum in Spearhead Forest. Chest located at (4141, 135, 280)']
